,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
76,0.0035149097442626954,0.0018262799327629232,0.02025742530822754,0.007289529467107017,auto,19,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 19, 'p': 1, 'weights': 'uniform'}",-0.2097902097902098,-0.1958041958041958,-0.1619718309859155,-0.18309859154929578,-0.19014084507042253,-0.18820224719101122,0.01575982672255745,13,-0.17926186291739896,-0.17750439367311072,-0.18421052631578946,-0.18070175438596492,-0.17894736842105263,-0.18012518114266335,0.002281384229554589
16,0.0017053604125976563,0.00024464262262228234,0.012632656097412109,0.0020162374662560235,ball_tree,19,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 19, 'p': 1, 'weights': 'uniform'}",-0.2097902097902098,-0.1958041958041958,-0.1619718309859155,-0.18309859154929578,-0.19014084507042253,-0.18820224719101122,0.01575982672255745,13,-0.17926186291739896,-0.17750439367311072,-0.18421052631578946,-0.18070175438596492,-0.17894736842105263,-0.18012518114266335,0.002281384229554589
56,0.0012011528015136719,0.0005079889725163052,0.01204543113708496,0.0030341871057549047,brute,19,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 19, 'p': 1, 'weights': 'uniform'}",-0.2097902097902098,-0.1958041958041958,-0.1619718309859155,-0.18309859154929578,-0.19014084507042253,-0.18820224719101122,0.01575982672255745,13,-0.17926186291739896,-0.17750439367311072,-0.18421052631578946,-0.18070175438596492,-0.17894736842105263,-0.18012518114266335,0.002281384229554589
28,0.002807426452636719,0.000982791105688065,0.022359657287597656,0.004165479781357062,kd_tree,17,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 17, 'p': 1, 'weights': 'uniform'}",-0.2097902097902098,-0.1958041958041958,-0.14788732394366197,-0.19718309859154928,-0.19718309859154928,-0.1896067415730337,0.021437162805940095,17,-0.17750439367311072,-0.18101933216168717,-0.18070175438596492,-0.17543859649122806,-0.17017543859649123,-0.1769679030616964,0.0039779365942076575
48,0.0012024879455566407,0.0002446824539581198,0.012733888626098634,0.0012918694408494819,brute,17,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 17, 'p': 1, 'weights': 'uniform'}",-0.2097902097902098,-0.1958041958041958,-0.14788732394366197,-0.19718309859154928,-0.19718309859154928,-0.1896067415730337,0.021437162805940095,17,-0.17750439367311072,-0.18101933216168717,-0.18070175438596492,-0.17543859649122806,-0.17017543859649123,-0.1769679030616964,0.0039779365942076575
44,0.001203632354736328,0.00024569066851398973,0.016443872451782228,0.0030317227455580855,brute,16,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 16, 'p': 1, 'weights': 'uniform'}",-0.20279720279720279,-0.1958041958041958,-0.15492957746478872,-0.19718309859154928,-0.19718309859154928,-0.1896067415730337,0.017475121828067312,17,-0.1757469244288225,-0.18101933216168717,-0.18421052631578946,-0.18070175438596492,-0.1736842105263158,-0.17907254956371596,0.003819346961491091
64,0.0014083385467529297,0.00038222155393030595,0.013092041015625,0.0022387380315254998,auto,16,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 16, 'p': 1, 'weights': 'uniform'}",-0.20279720279720279,-0.1958041958041958,-0.15492957746478872,-0.19718309859154928,-0.19718309859154928,-0.1896067415730337,0.017475121828067312,17,-0.1757469244288225,-0.18101933216168717,-0.18421052631578946,-0.18070175438596492,-0.1736842105263158,-0.17907254956371596,0.003819346961491091
24,0.0017047882080078124,0.0002457878212334661,0.013936996459960938,0.0018861600922538471,kd_tree,16,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 16, 'p': 1, 'weights': 'uniform'}",-0.20279720279720279,-0.1958041958041958,-0.15492957746478872,-0.19718309859154928,-0.19718309859154928,-0.1896067415730337,0.017475121828067312,17,-0.1757469244288225,-0.18101933216168717,-0.18421052631578946,-0.18070175438596492,-0.1736842105263158,-0.17907254956371596,0.003819346961491091
68,0.0014037609100341797,0.00020036703061625474,0.013547945022583007,0.0009518836662746655,auto,17,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 17, 'p': 1, 'weights': 'uniform'}",-0.2097902097902098,-0.1958041958041958,-0.14788732394366197,-0.19718309859154928,-0.19718309859154928,-0.1896067415730337,0.021437162805940095,17,-0.17750439367311072,-0.18101933216168717,-0.18070175438596492,-0.17543859649122806,-0.17017543859649123,-0.1769679030616964,0.0039779365942076575
4,0.0011022567749023437,0.00018101610277285052,0.008024120330810547,5.574305919670367e-06,ball_tree,16,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 16, 'p': 1, 'weights': 'uniform'}",-0.20279720279720279,-0.1958041958041958,-0.15492957746478872,-0.19718309859154928,-0.19718309859154928,-0.1896067415730337,0.017475121828067312,17,-0.1757469244288225,-0.18101933216168717,-0.18421052631578946,-0.18070175438596492,-0.1736842105263158,-0.17907254956371596,0.003819346961491091
8,0.001010560989379883,0.0003175177181417592,0.008602666854858398,0.0012555070707458975,ball_tree,17,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 17, 'p': 1, 'weights': 'uniform'}",-0.2097902097902098,-0.1958041958041958,-0.14788732394366197,-0.19718309859154928,-0.19718309859154928,-0.1896067415730337,0.021437162805940095,17,-0.17750439367311072,-0.18101933216168717,-0.18070175438596492,-0.17543859649122806,-0.17017543859649123,-0.1769679030616964,0.0039779365942076575
22,0.0018047809600830079,0.0004011751877281068,0.012833976745605468,0.002141176120835399,kd_tree,15,2,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",-0.18181818181818182,-0.1958041958041958,-0.22535211267605634,-0.176056338028169,-0.18309859154929578,-0.19241573033707865,0.01766076199851502,25,-0.18980667838312829,-0.18101933216168717,-0.17017543859649123,-0.18596491228070175,-0.17894736842105263,-0.18118274596861222,0.006684695316368597
62,0.0017075061798095704,0.0004032014276127924,0.010328960418701173,0.0029013344619667762,auto,15,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",-0.18181818181818182,-0.1958041958041958,-0.22535211267605634,-0.176056338028169,-0.18309859154929578,-0.19241573033707865,0.01766076199851502,25,-0.18980667838312829,-0.18101933216168717,-0.17017543859649123,-0.18596491228070175,-0.17894736842105263,-0.18118274596861222,0.006684695316368597
2,0.0012120246887207032,0.0002717186412774773,0.007430028915405273,0.0005822640048706746,ball_tree,15,2,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",-0.18181818181818182,-0.1958041958041958,-0.22535211267605634,-0.176056338028169,-0.18309859154929578,-0.19241573033707865,0.01766076199851502,25,-0.18980667838312829,-0.18101933216168717,-0.17017543859649123,-0.18596491228070175,-0.17894736842105263,-0.18118274596861222,0.006684695316368597
